building_name,zone_name,direction_name,surface_name,surface_type,surface_area,surface_comment
wtp_mix_medium_density_8,zone_1,west,surface_exterior_west,wtp_wall,4780.4,
wtp_mix_medium_density_9,zone_1,west,surface_exterior_west,wtp_wall,3186.9,
wtp_mix_medium_density_10,zone_1,west,surface_exterior_west,wtp_wall,4780.4,
wtp_mix_medium_density_11,zone_1,west,surface_exterior_west,wtp_wall,3186.9,
wtp_mix_medium_density_12,zone_1,west,surface_exterior_west,wtp_wall,2390.2,
wtp_mix_medium_density_13,zone_1,west,surface_exterior_west,wtp_wall,3186.9,
wtp_mix_medium_density_14,zone_1,west,surface_exterior_west,wtp_wall,1785.5,
wtp_mix_medium_density_15,zone_1,west,surface_exterior_west,wtp_wall,1787.6,
wtp_mix_medium_density_16,zone_1,west,surface_exterior_west,wtp_wall,1888.9,
wtp_mix_medium_density_17,zone_1,west,surface_exterior_west,wtp_wall,1868.8,
wtp_mix_medium_density_18,zone_1,west,surface_exterior_west,wtp_wall,1791.4,
wtp_mix_medium_density_19,zone_1,west,surface_exterior_west,wtp_wall,1808.4,
wtp_mix_medium_density_20,zone_1,west,surface_exterior_west,wtp_wall,1982.7,
wtp_mix_medium_density_21,zone_1,west,surface_exterior_west,wtp_wall,3705.9,
wtp_mix_medium_density_22,zone_1,west,surface_exterior_west,wtp_wall,2815.4,
wtp_mix_medium_density_1,zone_1,horizontal,surface_exterior_roof,wtp_roof,46333.0,
wtp_mix_medium_density_2,zone_1,horizontal,surface_exterior_roof,wtp_roof,46333.0,
wtp_mix_medium_density_3,zone_1,horizontal,surface_exterior_roof,wtp_roof,67446.6,
wtp_mix_medium_density_4,zone_1,horizontal,surface_exterior_roof,wtp_roof,47598.4,
wtp_mix_medium_density_5,zone_1,horizontal,surface_exterior_roof,wtp_roof,67446.6,
wtp_mix_medium_density_6,zone_1,horizontal,surface_exterior_roof,wtp_roof,30971.8,
wtp_mix_medium_density_7,zone_1,horizontal,surface_exterior_roof,wtp_roof,111331.2,
wtp_mix_medium_density_8,zone_1,horizontal,surface_exterior_roof,wtp_roof,51819.7,
wtp_mix_medium_density_9,zone_1,horizontal,surface_exterior_roof,wtp_roof,34546.4,
wtp_mix_medium_density_10,zone_1,horizontal,surface_exterior_roof,wtp_roof,51819.7,
wtp_mix_medium_density_11,zone_1,horizontal,surface_exterior_roof,wtp_roof,34546.5,
wtp_mix_medium_density_12,zone_1,horizontal,surface_exterior_roof,wtp_roof,25909.8,
wtp_mix_medium_density_13,zone_1,horizontal,surface_exterior_roof,wtp_roof,34546.5,
wtp_mix_medium_density_14,zone_1,horizontal,surface_exterior_roof,wtp_roof,32532.3,
wtp_mix_medium_density_15,zone_1,horizontal,surface_exterior_roof,wtp_roof,32609.5,
wtp_mix_medium_density_16,zone_1,horizontal,surface_exterior_roof,wtp_roof,36407.7,
wtp_mix_medium_density_17,zone_1,horizontal,surface_exterior_roof,wtp_roof,35637.0,
wtp_mix_medium_density_18,zone_1,horizontal,surface_exterior_roof,wtp_roof,43662.8,
wtp_mix_medium_density_19,zone_1,horizontal,surface_exterior_roof,wtp_roof,33371.1,
wtp_mix_medium_density_20,zone_1,horizontal,surface_exterior_roof,wtp_roof,40115.0,
wtp_mix_medium_density_21,zone_1,horizontal,surface_exterior_roof,wtp_roof,93430.9,
wtp_mix_medium_density_22,zone_1,horizontal,surface_exterior_roof,wtp_roof,107844.9,
