building_name,weather_type,building_storage_type
wtp_mix_medium_density_1,singapore_iwec,
wtp_mix_medium_density_2,singapore_iwec,
wtp_mix_medium_density_3,singapore_iwec,
wtp_mix_medium_density_4,singapore_iwec,
wtp_mix_medium_density_5,singapore_iwec,
wtp_mix_medium_density_6,singapore_iwec,
wtp_mix_medium_density_7,singapore_iwec,
wtp_mix_medium_density_8,singapore_iwec,
wtp_mix_medium_density_9,singapore_iwec,
wtp_mix_medium_density_10,singapore_iwec,
wtp_mix_medium_density_11,singapore_iwec,
wtp_mix_medium_density_12,singapore_iwec,
wtp_mix_medium_density_13,singapore_iwec,
wtp_mix_medium_density_14,singapore_iwec,
wtp_mix_medium_density_15,singapore_iwec,
wtp_mix_medium_density_16,singapore_iwec,
wtp_mix_medium_density_17,singapore_iwec,
wtp_mix_medium_density_18,singapore_iwec,
wtp_mix_medium_density_19,singapore_iwec,
wtp_mix_medium_density_20,singapore_iwec,
wtp_mix_medium_density_21,singapore_iwec,
wtp_mix_medium_density_22,singapore_iwec,
