"PRICE TYPE","DATE","PERIOD","PRICE ($/MWh)","DEMAND (MW)"
"USEP","01 Oct 2011","1","252.10","4636.876"
"USEP","01 Oct 2011","2","252.14","4531.626"
"USEP","01 Oct 2011","3","262.20","4451.485"
"USEP","01 Oct 2011","4","191.94","4354.073"
"USEP","01 Oct 2011","5","181.68","4277.063"
"USEP","01 Oct 2011","6","175.55","4219.634"
"USEP","01 Oct 2011","7","169.01","4203.213"
"USEP","01 Oct 2011","8","161.44","4181.465"
"USEP","01 Oct 2011","9","161.40","4162.554"
"USEP","01 Oct 2011","10","161.43","4174.074"
"USEP","01 Oct 2011","11","168.94","4195.426"
"USEP","01 Oct 2011","12","177.08","4244.594"
"USEP","01 Oct 2011","13","177.10","4314.929"
"USEP","01 Oct 2011","14","164.86","4339.118"
"USEP","01 Oct 2011","15","161.52","4390.205"
"USEP","01 Oct 2011","16","170.08","4575.094"
"USEP","01 Oct 2011","17","161.51","4792.044"
"USEP","01 Oct 2011","18","208.25","4975.084"
"USEP","01 Oct 2011","19","211.83","5112.649"
"USEP","01 Oct 2011","20","224.43","5216.219"
"USEP","01 Oct 2011","21","257.35","5292.200"
"USEP","01 Oct 2011","22","268.26","5325.330"
"USEP","01 Oct 2011","23","265.73","5300.530"
"USEP","01 Oct 2011","24","252.24","5246.953"
"USEP","01 Oct 2011","25","245.59","5216.418"
"USEP","01 Oct 2011","26","224.26","5174.968"
"USEP","01 Oct 2011","27","244.59","5148.756"
"USEP","01 Oct 2011","28","252.19","5148.880"
"USEP","01 Oct 2011","29","252.20","5143.657"
"USEP","01 Oct 2011","30","245.58","5122.385"
"USEP","01 Oct 2011","31","225.44","5090.731"
"USEP","01 Oct 2011","32","242.12","5069.311"
"USEP","01 Oct 2011","33","225.43","5022.210"
"USEP","01 Oct 2011","34","208.25","4988.558"
"USEP","01 Oct 2011","35","224.41","4960.304"
"USEP","01 Oct 2011","36","206.75","4919.222"
"USEP","01 Oct 2011","37","206.75","4949.976"
"USEP","01 Oct 2011","38","211.81","5055.792"
