battery_technology,2016,2020,2025,2030
flooded_la,0.82,0.83,0.84,0.85
vrla,0.8,0.81,0.82,0.83
li_ion_lfp,0.92,0.92,0.93,0.94
li_ion_nca,0.95,0.95,0.96,0.97
li_ion_nmc,0.95,0.95,0.96,0.97
li_ion_titan,0.96,0.97,0.97,0.98
nanicl,0.84,0.85,0.86,0.87
