,0
2020-01-01 00:00:00,0.0
2020-01-01 00:30:00,0.0
2020-01-01 01:00:00,0.0
2020-01-01 01:30:00,0.0
2020-01-01 02:00:00,0.0
2020-01-01 02:30:00,0.0
2020-01-01 03:00:00,0.0
2020-01-01 03:30:00,0.0
2020-01-01 04:00:00,0.0
2020-01-01 04:30:00,0.0
2020-01-01 05:00:00,0.0
2020-01-01 05:30:00,0.0
2020-01-01 06:00:00,0.0
2020-01-01 06:30:00,36427.430741758224
2020-01-01 07:00:00,72854.86148351645
2020-01-01 07:30:00,230789.87478011445
2020-01-01 08:00:00,388724.88807671244
2020-01-01 08:30:00,556825.7556479453
2020-01-01 09:00:00,724926.6232191782
2020-01-01 09:30:00,867743.0501534252
2020-01-01 10:00:00,1010559.4770876723
2020-01-01 10:30:00,1102597.0398410968
2020-01-01 11:00:00,1194634.6025945214
2020-01-01 11:30:00,1242453.2175328769
2020-01-01 12:00:00,1290271.8324712326
2020-01-01 12:30:00,1284451.0497068483
2020-01-01 13:00:00,1278630.2669424643
2020-01-01 13:30:00,1219173.4371972596
2020-01-01 14:00:00,1159716.6074520547
2020-01-01 14:30:00,1056257.4940260276
2020-01-01 15:00:00,952798.3806000003
2020-01-01 15:30:00,811212.4428684934
2020-01-01 16:00:00,669626.5051369865
2020-01-01 16:30:00,509883.74494246574
2020-01-01 17:00:00,350140.984747945
2020-01-01 17:30:00,213025.1864739725
2020-01-01 18:00:00,75909.38820000004
2020-01-01 18:30:00,37954.69410000002
2020-01-01 19:00:00,0.0
2020-01-01 19:30:00,0.0
2020-01-01 20:00:00,0.0
2020-01-01 20:30:00,0.0
2020-01-01 21:00:00,0.0
2020-01-01 21:30:00,0.0
2020-01-01 22:00:00,0.0
2020-01-01 22:30:00,0.0
2020-01-01 23:00:00,0.0
2020-01-01 23:30:00,0.0
2020-01-02 00:00:00,0.0
