,0
2020-01-01 00:00:00,0.0
2020-01-01 00:30:00,0.0
2020-01-01 01:00:00,0.0
2020-01-01 01:30:00,0.0
2020-01-01 02:00:00,0.0
2020-01-01 02:30:00,0.0
2020-01-01 03:00:00,0.0
2020-01-01 03:30:00,0.0
2020-01-01 04:00:00,0.0
2020-01-01 04:30:00,0.0
2020-01-01 05:00:00,0.0
2020-01-01 05:30:00,0.0
2020-01-01 06:00:00,0.0
2020-01-01 06:30:00,72854.86146153844
2020-01-01 07:00:00,145709.7229230769
2020-01-01 07:30:00,461579.7494957848
2020-01-01 08:00:00,777449.7760684928
2020-01-01 08:30:00,1116527.9496109588
2020-01-01 09:00:00,1455606.1231534248
2020-01-01 09:30:00,1738362.5386534254
2020-01-01 10:00:00,2021118.954153426
2020-01-01 10:30:00,2205194.079654795
2020-01-01 11:00:00,2389269.2051561642
2020-01-01 11:30:00,2484906.4350397266
2020-01-01 12:00:00,2580543.664923289
2020-01-01 12:30:00,2565201.0994013716
2020-01-01 13:00:00,2549858.5338794542
2020-01-01 13:30:00,2434645.87441644
2020-01-01 14:00:00,2319433.214953425
2020-01-01 14:30:00,2112514.988060274
2020-01-01 15:00:00,1905596.761167124
2020-01-01 15:30:00,1622424.8857479459
2020-01-01 16:00:00,1339253.010328768
2020-01-01 16:30:00,1021145.4351273978
2020-01-01 17:00:00,703037.8599260274
2020-01-01 17:30:00,427428.3181616438
2020-01-01 18:00:00,151818.7763972602
2020-01-01 18:30:00,75909.3881986301
2020-01-01 19:00:00,0.0
2020-01-01 19:30:00,0.0
2020-01-01 20:00:00,0.0
2020-01-01 20:30:00,0.0
2020-01-01 21:00:00,0.0
2020-01-01 21:30:00,0.0
2020-01-01 22:00:00,0.0
2020-01-01 22:30:00,0.0
2020-01-01 23:00:00,0.0
2020-01-01 23:30:00,0.0
2020-01-02 00:00:00,0.0
