,zone1_temperature,zone2_temperature,zone3_temperature,zone4_temperature,surface_adiabatic_1_temperature,surface_adiabatic_2_temperature,surface_adiabatic_3_temperature,surface_adiabatic_4_temperature,surface_adiabatic_5_temperature,surface_adiabatic_6_temperature,surface_adiabatic_7_temperature,surface_adiabatic_8_temperature,surface_adiabatic_9_temperature,surface_adiabatic_10_temperature,surface_adiabatic_11_temperature,surface_adiabatic_12_temperature,surface_adiabatic_13_temperature,surface_adiabatic_14_temperature,surface_adiabatic_15_temperature,surface_adiabatic_16_temperature,surface_adiabatic_17_temperature,surface_adiabatic_18_temperature,surface_adiabatic_19_temperature,surface_exterior_1_temperature,surface_exterior_2_temperature,surface_exterior_3_temperature,surface_exterior_4_temperature,surface_exterior_5_temperature,surface_exterior_6_temperature,surface_exterior_7_temperature,surface_exterior_8_temperature,surface_exterior_9_temperature,surface_interior_1_temperature,surface_interior_2_temperature,surface_interior_3_temperature
2017-01-02 00:00:00,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0
2017-01-02 00:30:00,26.564062161853556,26.480134386470482,26.238573368940724,26.610593956327136,26.00805440481994,26.00404275847617,26.003700962442398,26.003700962442373,26.007883625503972,26.007883625503958,26.00668945156985,26.003073588234315,26.00307358823432,26.006547598198207,26.006547598198193,26.003525465623866,26.001620091077953,26.00345072744732,26.003450727447312,26.009509444432418,26.004370576287204,26.00930789991251,26.009307899912518,25.984790456911547,25.984178647390817,25.984178647390834,25.984178647390824,25.984178647390824,25.982760548047377,25.982760548047377,25.985442671193823,25.985442671193827,26.00737192819489,26.005789935221888,26.00809944800113
2017-01-02 01:00:00,27.16085396164928,27.928355086108393,24.09508541590864,25.47657733292578,26.027008939616902,26.01359834468987,26.012451924153265,26.012451924153197,26.026439724242067,26.026439724242042,26.03599194926796,26.016572196004535,26.01657219600452,26.035231648767535,26.0352316487675,25.973049010382343,25.98762883055561,25.97362151608911,25.973621516089107,26.001556625491503,26.000760882914342,26.001527428561783,26.001527428561797,25.983490144566954,25.987515530101504,25.987515530101543,25.987515530101522,25.987515530101522,25.959302074765098,25.959302074765098,25.97208268692913,25.972082686929145,26.03150044444241,26.000028974999587,26.01877428737971
2017-01-02 01:30:00,26.51373955367419,25.09433383637373,26.504427885440332,28.213838779390795,26.038512438206972,26.019505327825485,26.017869914252255,26.017869914252152,26.037710317116307,26.03771031711627,26.03057893795315,26.01426446209432,26.014264462094317,26.029948376020474,26.02994837602043,25.97753615795309,25.989558662919453,25.97800248927595,25.978002489275944,26.037410469377654,26.01724672829402,26.036621952928137,26.03662195292816,25.979030741397505,25.975479050913698,25.975479050913744,25.97547905091372,25.97547905091372,25.951670246617912,25.95167024661791,25.978524413895567,25.978524413895585,26.034545688080026,26.008024298079985,26.03399470366537
2017-01-02 02:00:00,25.80084983481083,25.51959201565584,27.919743456388492,27.595681589799483,26.036939690942575,26.01889612848946,26.017326423512728,26.01732642351262,26.0361857394503,26.036185739450257,26.01939323439195,26.009256763905015,26.00925676390502,26.01901070025687,26.019010700256814,26.010402492143527,26.0045658819735,26.010164141970524,26.010164141970506,26.06738087032238,26.031204146798096,26.065972386561512,26.065972386561548,25.968517191392856,25.96065197218293,25.96065197218299,25.96065197218295,25.960651972182955,25.95656392727792,25.95656392727791,25.982149345532545,25.982149345532566,26.028166462667226,26.023671091543005,26.043387052357133
2017-01-02 02:30:00,27.68902527780771,25.06894895406857,25.026040875561456,26.352278677700962,26.059881945014443,26.030578129083743,26.028034045503954,26.028034045503805,26.05865510315945,26.058655103159385,26.003927291986045,26.002233108181887,26.002233108181905,26.003879330177448,26.00387933017738,25.99801694980986,25.99893050475422,25.998046037040492,25.99804603704047,26.075884275852925,26.035428429667046,26.0743217690243,26.074321769024344,25.969161234508498,25.944072715483966,25.944072715484037,25.944072715483994,25.944072715483998,25.941362954923505,25.941362954923488,25.97633774033431,25.97633774033433,26.031904618500192,26.028949447412085,26.039905783919448
2017-01-02 03:00:00,27.632859544182846,24.881470125319964,27.85131493772852,27.073066132774255,26.088904693261217,26.045430098925426,26.041652965092734,26.041652965092542,26.08708570761918,26.087085707619096,25.983941592430295,25.993057188641693,25.99305718864173,25.984317673783103,25.984317673783014,26.02555465128261,26.011575623629106,26.024999277647876,26.024999277647844,26.09265400356741,26.043482505482977,26.090764575142043,26.09076457514209,25.973077115973012,25.925994155977616,25.92599415597769,25.925994155977644,25.925994155977644,25.944583318336072,25.94458331833605,25.974768535804063,25.974768535804092,26.036423142845692,26.05722967227184,26.038297797998812
2017-01-02 03:30:00,25.711773133298383,26.827142589770894,20.363878116945916,24.910444265143855,26.09042520799909,26.046609982618236,26.042766243421585,26.042766243421372,26.088607974849683,26.0886079748496,25.991370550158802,25.996384990040912,25.99638499004094,25.991581614874793,25.991581614874693,25.939849015304187,25.972310731088115,25.941120725812567,25.941120725812542,26.074930437356876,26.03575843710255,26.073451142050768,26.073451142050825,25.964839124199045,25.920352324737046,25.920352324737138,25.920352324737085,25.920352324737085,25.897220055914953,25.897220055914932,25.957905702118936,25.957905702118975,26.040897879078873,26.015137111651548,26.03315049375779
2017-01-02 04:00:00,26.249751884149333,27.14486228351494,26.290682335033118,27.854952446405672,26.090671435927728,26.0471378668013,26.0432820026236,26.04328200262337,26.0888816472507,26.088881647250613,26.010896452755517,26.005320011290525,26.005320011290546,26.010690154013446,26.01069015401332,25.932085411166415,25.96843910543469,25.93349635338716,25.933496353387124,26.100477386463684,26.047828671345655,26.098483053181475,26.098483053181535,25.95563588115742,25.91974507286567,25.919745072865776,25.919745072865712,25.919745072865716,25.884353947464156,25.88435394746413,25.960034695917557,25.960034695917603,26.05078394434154,26.01137842354697,26.05568691960955
2017-01-02 04:30:00,25.657839176597967,26.14473420402735,22.78971719814533,23.926494939510846,26.085428461225177,26.044912881319377,26.04127812268781,26.04127812268757,26.0837824204716,26.083782420471493,26.018202089245204,26.008733619520275,26.00873361952028,26.01784539844486,26.017845398444717,25.882725338974137,25.945443573731406,25.88515686302749,25.88515686302745,26.07041700966644,26.03446939887166,26.069096616825053,26.06909661682512,25.9441355366139,25.91383377107307,25.913833771073193,25.91383377107312,25.913833771073122,25.853006670830993,25.853006670830965,25.93741609241181,25.937416092411862,26.0518152752351,25.984076900099538,26.044309549455757
