building_name,zone_name,surface_name,surface_type,surface_area,surface_comment
47345222,zone_1,surface_adiabatic_floor,floor_concrete,2475.8519440899777,
47415359,zone_1,surface_adiabatic_floor,floor_concrete,1272.756148879496,
47415360,zone_1,surface_adiabatic_floor,floor_concrete,1443.7910272461127,
47415361,zone_1,surface_adiabatic_floor,floor_concrete,1121.8564201593229,
48035153,zone_1,surface_adiabatic_floor,floor_concrete,1714.3716517941466,
48126413,zone_1,surface_adiabatic_floor,floor_concrete,3141.5731964571846,
48178719,zone_1,surface_adiabatic_floor,floor_concrete,4850.338962503576,
48948265,zone_1,surface_adiabatic_floor,floor_concrete,2815.9184623347323,
49890750,zone_1,surface_adiabatic_floor,floor_concrete,13807.916255286711,
49890775,zone_1,surface_adiabatic_floor,floor_concrete,7998.77189092164,
51761904,zone_1,surface_adiabatic_floor,floor_concrete,9194.455655333737,
95762799,zone_1,surface_adiabatic_floor,floor_concrete,1591.8278266752964,
97582570,zone_1,surface_adiabatic_floor,floor_concrete,10293.237244764676,
97585680,zone_1,surface_adiabatic_floor,floor_concrete,2250.8922704369875,
97666815,zone_1,surface_adiabatic_floor,floor_concrete,891.0198064127615,
97666816,zone_1,surface_adiabatic_floor,floor_concrete,1296.0385212769393,
97666817,zone_1,surface_adiabatic_floor,floor_concrete,658.0825928872846,
97666818,zone_1,surface_adiabatic_floor,floor_concrete,694.180642264287,
97666910,zone_1,surface_adiabatic_floor,floor_concrete,436.63285243694844,
99347079,zone_1,surface_adiabatic_floor,floor_concrete,698.858604571341,
99348745,zone_1,surface_adiabatic_floor,floor_concrete,2577.0086969251724,
102938119,zone_1,surface_adiabatic_floor,floor_concrete,2040.8690007409282,
103110145,zone_1,surface_adiabatic_floor,floor_concrete,2150.10447414331,
103110147,zone_1,surface_adiabatic_floor,floor_concrete,1329.8444449810952,
106193385,zone_1,surface_adiabatic_floor,floor_concrete,3562.252053698706,
106193386,zone_1,surface_adiabatic_floor,floor_concrete,1016.8666934711985,
106193387,zone_1,surface_adiabatic_floor,floor_concrete,251.13037384757857,
106193388,zone_1,surface_adiabatic_floor,floor_concrete,1543.2401943054954,
106193390,zone_1,surface_adiabatic_floor,floor_concrete,1736.2128996645383,
106193391,zone_1,surface_adiabatic_floor,floor_concrete,256.489355608946,
116800998,zone_1,surface_adiabatic_floor,floor_concrete,12271.588508093928,
116800998,zone_2,surface_adiabatic_floor,floor_concrete,12271.588508093928,
116801003,zone_1,surface_adiabatic_floor,floor_concrete,26526.407157580787,
116801003,zone_2,surface_adiabatic_floor,floor_concrete,26526.407157580787,
116801004,zone_1,surface_adiabatic_floor,floor_concrete,3036.5777864661404,
116801004,zone_2,surface_adiabatic_floor,floor_concrete,3036.5777864661404,
116801907,zone_1,surface_adiabatic_floor,floor_concrete,808.7095914893508,
116905040,zone_1,surface_adiabatic_floor,floor_concrete,2667.8882432119476,
116905040,zone_2,surface_adiabatic_floor,floor_concrete,2667.8882432119476,
116905041,zone_1,surface_adiabatic_floor,floor_concrete,3443.61076133934,
116905041,zone_2,surface_adiabatic_floor,floor_concrete,3443.61076133934,
116905042,zone_1,surface_adiabatic_floor,floor_concrete,1752.5832362707913,
116905042,zone_2,surface_adiabatic_floor,floor_concrete,1752.5832362707913,
116905045,zone_1,surface_adiabatic_floor,floor_concrete,1262.830558154433,
116905045,zone_2,surface_adiabatic_floor,floor_concrete,1262.830558154433,
117041257,zone_1,surface_adiabatic_floor,floor_concrete,6746.317550971143,
