hvac_ahu_type,ahu_cooling_type,ahu_heating_type,ahu_dehumidification_type,ahu_return_air_heat_recovery_type,ahu_supply_air_temperature_setpoint,ahu_supply_air_relative_humidity_setpoint,ahu_fan_efficiency,ahu_cooling_efficiency,ahu_heating_efficiency,ahu_return_air_heat_recovery_efficiency
create_ahu,default,default,default,default,hvac_ahu_supply_air_temperature_setpoint,hvac_ahu_supply_air_relative_humidity_setpoint,hvac_ahu_fan_efficiency,hvac_ahu_cooling_efficiency,hvac_ahu_heating_efficiency,hvac_ahu_return_air_heat_recovery_efficiency
wtp_ahu,default,default,default,default,18.0,75.0,1.0,5.5,1.0,1.0
