building_name,zone_name,zone_type,zone_height,zone_area,zone_comment
create_level8_9zones_b,zone7,create_level8_group_office,3.0,38.8,4*(6.5+3.2)
create_level8_9zones_b,zone8,create_level8_group_office,3.0,29.16,4*7.29
create_level8_9zones_b,zone9,create_level8_open_plan_office,4.8,64.2712,9.98*6.44
create_level8_10zones,zone1,create_level8_open_plan_office,4.8,178.464,17.16*10.4
create_level8_10zones,zone2,create_level8_open_plan_office,4.8,248.8896,10.44*23.84
create_level8_10zones,zone3,create_level8_group_office,3.0,29.0142,3.98*7.29
create_level8_10zones,zone4,create_level8_group_office,3.0,25.472,3.98*(3.2+3.2)
create_level8_10zones,zone5,create_level8_group_office,3.0,12.6564,3.98*3.18
create_level8_10zones,zone6,create_level8_group_office,3.0,25.8,4*(3.25+3.2)
create_level8_10zones,zone7,create_level8_group_office,3.0,38.8,4*(6.5+3.2)
create_level8_10zones,zone8,create_level8_group_office,3.0,29.16,4*7.29
create_level8_10zones,zone9,create_level8_open_plan_office,4.8,80.0,80
create_level8_10zones,zone10,create_level8_open_plan_office,4.8,64.2712,9.98*6.44
create_level8_11zones_a,zone1,create_level8_open_plan_office,4.8,178.464,17.16*10.4
create_level8_11zones_a,zone2,create_level8_open_plan_office,4.8,248.8896,10.44*23.84
create_level8_11zones_a,zone3,create_level8_group_office,3.0,29.0142,3.98*7.29
create_level8_11zones_a,zone4,create_level8_group_office,3.0,25.472,3.98*(3.2+3.2)
create_level8_11zones_a,zone5,create_level8_group_office,3.0,12.6564,3.98*3.18
create_level8_11zones_a,zone6,create_level8_group_office,3.0,25.8,4*(3.25+3.2)
create_level8_11zones_a,zone7,create_level8_group_office,3.0,38.8,4*(6.5+3.2)
create_level8_11zones_a,zone8,create_level8_group_office,3.0,29.16,4*7.29
create_level8_11zones_a,zone9,create_level8_open_plan_office,4.8,52.0,52
create_level8_11zones_a,zone10,create_level8_open_plan_office,4.8,28.0,28
