surface_type,heat_capacity,thermal_resistance_surface,absorptivity,emissivity,window_type,window_wall_ratio,sky_view_factor
create_exterior_wall_concrete,heat_capacity_exterior_wall_concrete,thermal_resistance_exterior_wall_concrete,absorptivity_exterior_wall_concrete,emissivity_exterior_wall_concrete,create_exterior_window,0.0,0.5
create_interior_wall_concrete,heat_capacity_interior_wall_concrete,thermal_resistance_interior_wall_concrete,absorptivity_interior_wall_concrete,emissivity_interior_wall_concrete,create_interior_window,0.0,
create_interior_column_concrete,heat_capacity_interior_wall_concrete,thermal_resistance_interior_wall_concrete,absorptivity_interior_wall_concrete,emissivity_interior_wall_concrete,create_interior_window,0.0,
create_exterior_wall_curtain_window,heat_capacity_exterior_wall_curtain,thermal_resistance_exterior_wall_curtain,absorptivity_exterior_wall_curtain,emissivity_exterior_wall_curtain,create_exterior_window,0.552,0.5
create_interior_wall_gypsum_window,heat_capacity_interior_wall_gypsum,thermal_resistance_interior_wall_gypsum,absorptivity_interior_wall_gypsum,emissivity_interior_wall_gypsum,create_interior_window,0.5,
create_interior_wall_gypsum,heat_capacity_interior_wall_gypsum,thermal_resistance_interior_wall_gypsum,absorptivity_interior_wall_gypsum,emissivity_interior_wall_gypsum,create_interior_window,0.0,
create_interior_base_ceiling_concrete,heat_capacity_interior_base_ceiling_concrete,thermal_resistance_interior_base_ceiling_concrete,absorptivity_interior_base_ceiling_concrete,emissivity_interior_base_ceiling_concrete,create_interior_window,0.0,
